ID,File,Transcription,incident_type,injury_severity,victims_count,fire_present,trapped_persons,weapons_involved,hazmat_involved,intent,urgency_human,daira,commune,lieu,location_description,summary,notes_cot,source_csv
CALL_0208_Appe,Appelle 1.wav,"Operator: Allo? Caller: ma3lishe, tzemmed ad t-deplacer-ed? Operator: Anda Madame? Caller: 2550 logements, le bloc 20, appartement 4. Deg Bgayet. Operator: Deg Bgayet-nni? Caller: An3am, deg Ighzer Ouzarif. Operator: Eh, Ighzer Ouzarif... Cité AADL? Caller: Khati, deg l'social uksar. Operator: Uksar? Caller: An3am. Operator: Wacho l'bloc? Caller: Le bloc 20. Operator: Le bloc 20. Dachu la famille? Caller: Benoudiba. Operator: Benoudiba. An3am. Dachu i t-yuɣen? Caller: Khati, tamghart-iw, Madame-is. C'est une cancéreuse, cancéreuse, tban-iyi-d t-7ra-as l'ma3da-as... Operator: Eh, mais t-nuffes? Machi? Caller: An3am. Operator: Ila-as-en vie? Mazal-it i-t-l7u? Caller: An3am l7eya itella . Operator: D'accord a Madame, essayent a l'cancer-nni ad t-soulager-en chwiya, puisque t-sa3 l'douleurs-nni n l'cancer amek. Caller: Ma3lich a Madame. tura adla3ir i oued ghir . Essaye atchey3et -7ed ad di3 . Operator: Khalas, d'accord agma. Tout de suite. Puisque da i-deg l'pompiers n Bgayet. Caller: An3am? Operator: Na3am, d'a i-deg Bgayet. D'accord agma, i. Eh, ubrid-at t-nmarki numiru-nsen direct. 030 16 82 82.",medical_emergency,severe,,no,no,no,no,request_help,high,Béjaïa,Béjaïa,Ighzer Ouzarif,"2550 logements, le bloc 20, appartement 4, cité l'social uksar (partie basse)",Demande d'assistance médicale pour une patiente cancéreuse souffrant de fortes douleurs à l'estomac à la cité 2550 logements d'Ighzer Ouzarif.,"L'appelant mentionne 'cancéreuse' et 't-7ra-as l'ma3da-as' (brûlures/douleurs à l'estomac), ce qui qualifie l'incident de 'medical_emergency'. Le lieu est précisé comme 'Ighzer Ouzarif' dans les '2550 logements' (logements sociaux, partie basse 'uksar'). L'urgence est haute car il s'agit d'une détresse liée au cancer.",400annotations_local.csv
CALL_0208_Appe,Appelle 201.wav,"Allo ? Allo les pompiers ? Ouais. Ased aa ... ar-sid-ali... ar-sidi-ali bhar... 140 logements... as-sa-u-wher... ad-fites... Sidi-Ali u-bhar ? Eh, 140 logements. Ouais, 148 ? 140 ? 140 logements ? 140 logements. Dachu s-yettih ? Dachu l'bloc ? Am-m-bloc waya ? An-n-bloc ? Anwa -bloc wayi ? anwa-bloc ? A  140 logements, lan wahed 3 les blocs kan d'les blocs-n-wen. Eh, d'les blocs-ni n'ou-vrid ? Eh. Dachut i-yugh l'malade-agini ? Dachut i-yu... A-la3aks n-wul. Dachu i-yuwen ? Dachu-t iss3a ? La crise, la crise n'wul... khatchi d-l'epileptique. Irwa7 sur-ayew ! Sid-umast ! Ak-id-steqsi-gh, wak-it-ne-id-t-3eggu-d ara... it-fhemed dachu i-glan ? Isma-k id-irja t-khmed-d was n-zer nekkni achak-id n-chegga3. tfith, la crise n-wul mli7. Wala, taw-ala-d l'crise n-wul wala l'crise d'jara7 ? At-t-f-teffas s't-kuffa. A-ru7, 3ass-it-id i-v-ar, 3ass-it-id i-v-ar.",medical_emergency,severe,1.0,no,no,no,no,report_incident,high,Béjaïa,Béjaïa,Sidi Ali Labhar,"140 logements, les blocs n-vrid (les blocs au bord de la route)",Un homme signale une urgence médicale grave pour une personne faisant une crise cardiaque ou d'épilepsie aux 140 logements de Sidi Ali Labhar.,L'appelant mentionne 'crise n'wul' (crise de coeur) et 'l'epileptique'. Le lieu est identifié comme 'Sidi-Ali u-bhar' au niveau des '140 logements'. La gravité est soulignée par 'teffas s't-kuffa' (il mousse par la bouche).,400annotations_local.csv
CALL_0208_Appe,Appelle 2.wav,"Alo, salam aleykoum. les pompiers n seddouk ? - vgayeth - nes3a un malade dayi ighli gel'qahwa n'Hidra. - L'qahwa n'Hidra ? - Eh. - Bon, dachu thyughun ? - Eh, je pense l'tension sighlin - Ah oui... andha thla l'qahwa n'Hidra-yi ? - F'Seddouk, Seddouk. - Anwi amkan ? Seddouk ville ? - Seddouk ville, centre-ville , l'cafétéria Hidra. - Ok, d'accord. - Saha. - Saha.",medical_emergency,unknown,,no,no,no,no,report_incident,medium,Seddouk,Seddouk,"Centre-ville, Cafétéria Hidra","Centre-ville, l'cafétéria Hidra",Un appelant signale un malaise (chute de tension artérielle probable) au sein de la cafétéria Hidra située au centre-ville de Seddouk.,L'expression 'l'tension s'est allée' est typique pour désigner une chute de tension artérielle (malaise). 'L'qahwa n'Hidra' et 'Seddouk ville' ont permis d'identifier précisément le lieu.,400annotations_local.csv
CALL_0208_Appe,Appelle 3.wav,"Allo! L'Himaya oui?- Allo! L'Himaoui, oui? - Salam Alaikoum l'Himayai, d-aqla-gh dagi... gher la DGS, gher l'festival ni... - Eh? - L'festival ni, bon y-a une femme dagi enceinte de 3 mois, tes3a un malaise. - wahi la DGS? - Dakhel, s-dakhel ni, aqla-gh dina s-dakhel... un malaise d'une femme enceinte de 3 mois, d'accord? - D'accord, sa7a, aqla-gh nettraju s-dakhel.",medical_emergency,minor,1.0,no,no,no,no,report_incident,high,Inconnu,Inconnu,la DGS / Festival,"dakhel l'festival ni, gher la DGS, s-dakhel","Une femme enceinte de trois mois a fait un malaise à l'intérieur du site du festival, à proximité de la DGS.",L'appelant utilise 'malaise' et 'femme enceinte de 3 mois' pour signaler une urgence médicale (medical_emergency). Il localise l'incident à 'la DGS' (Direction Générale de la Sûreté) à l'intérieur du 'festival' (s-dakhel). 'L'Himaoui' est le terme utilisé pour désigner l'agent de la Protection Civile.,400annotations_local.csv
CALL_0208_Appe,Appelle 4.wav,"Allo. Hmayai oui?. Salam 3likoum. Slam. A 7bbib, s3a l'urgence dagi g-Hlil. Hlil? Ih, att3edit chweya i la salle des fêtes andiss l-gessnuzay wina les citernes l-galvanisés. Ah siyed, ak-deekegh-numéro n-wad-ghir axir. Arwah. Marki 030 16 2 fois 92. 2 fois ch-hal? 92, sin i-berdan 92. Daya? C'est bon. Saha. Saha.",unknown,unknown,,unknown,unknown,no,unknown,report_incident,unknown,Béjaïa,Oued Ghir,Hlil,att3edit chweya i la salle des fêtes andiss l-gessnuzay wina les citernes l-galvanisés,"L'appelant signale une urgence à Hlil (Oued Ghir), localisée près de la piste de Swiyan, à proximité de la salle des fêtes et de citernes galvanisées.","L'appelant utilise le mot 'l'urgence' d'un ton pressé. Le lieu est identifié par 'Hlil' et le numéro de téléphone donné appartient à la zone de 'Oued Ghir' (Wad-Ghir). L'incident précis n'est pas nommé mais la localisation est détaillée (salle des fêtes, citernes).",400annotations_local.csv
CALL_0208_Appe,Appelle 5.wav,"Allo? Allo an3am... Salam alaykoum. Salam alaykoum, l'pompiers nvgayeth? oui. Euh, ness3a dayi g  Beni Maouche thametoth theghlid g thzemourth umb3ad qarend lambulance wlachitt . Ah? Euh... . nchey3awend lambulance.. Beni Maouche?, Seddouk..An3am?? Seddouk, ah. D'accord, d'accord, d'accord, sahit.",medical_emergency,unknown,1.0,no,no,no,no,request_help,medium,Seddouk,Seddouk,Seddouk,L'appelant hésite entre Beni Maouche et Seddouk.,"L'appelant demande une ambulance mais semble confus ou hésitant sur la localisation exacte, mentionnant d'abord Beni Maouche avant de confirmer Seddouk.","L'expression 'bghigh l'ambulance' indique un besoin médical (medical_emergency). L'appelant mentionne deux localités (Beni Maouche et Seddouk), l'agent confirme Seddouk à la fin.",400annotations_local.csv
CALL_0208_Appe,Appelle 6.wav,"Allo salam - L'pompiers Souk n Letnin? - Khati,ne vgayeth. - nevgayeth? Ah nes3a yiwth g Souk n Letni, attan g-l'qa3a? - Ak-d-fka l'nimiru n Souk n Letni xir. Rwah marki: 034 09 36 13. 13 à la fin. - D'accord, saha.",unknown,unknown,1.0,unknown,unknown,unknown,unknown,request_help,unknown,Souk El Tenine,Souk El Tenine,Inconnu,Inconnu,Un appelant cherche à joindre la caserne de Souk El Tenine. L'opérateur lui fournit le numéro de téléphone direct de l'unité locale.,L'appelant demande 'l'pompiers Souk n Letni' (Souk El Tenine). L'agent se présente comme étant à 'Guayes' et décide de donner le numéro direct ('l'nimiru') pour une meilleure prise en charge ('xir'). L'incident n'est pas encore détaillé.,400annotations_local.csv
CALL_0208_Appe,Appelle 7.wav,"Allo, as-salamou 3alaykom. - Salam. - S'il vous plaît l'cité Djamaa tche3l thmessth g khyoud n l'tricity, l'extérieur. - Cité Djamaa ? - .. à l'extérieur... au 3ème cartier. - D'accord, sahit. - Sa7a.",other,unknown,,yes,no,no,no,report_incident,high,Béjaïa,Béjaïa,"Cité Djamaa, Imsel",à l'extérieur au 3ème cartier,Signalement d'un départ de feu sur des câbles électriques extérieurs au 3ème cartier d'un bâtiment à la Cité Djamaa (Imsel).,"L'appelant utilise 'tche3l thmesth' (le feu brûle/a pris) et précise 'lekhyout n l'tricity' (câbles électriques), ce qui indique un incendie d'origine électrique sur une structure (fire_building). Localisation précise : cite djamaa (Béjaïa), au 3ème cartier.",400annotations_local.csv
CALL_0208_Appe,Appelle 8.wav,"S-salam alaykoum. himaya oui?. la protection civil thella une accident, yiwen thewthith tomobil athan dayi gel-qa3a. Athan ttedund? Athan ttedund i waghir? Eh, Athan ttedund g waghir, il est inconscientt. Athan ttedund ... tura t-le7qed l'ambulance. Aya d'accord, saha merci.",accident_vehicular,severe,1.0,no,unknown,no,no,report_incident,high,Béjaïa,Oued Ghir,oued ghir,Oued ghir,Signalement d'un accident de la circulation à Akendound (Oued Ghir) avec une victime inconsciente. L'opérateur confirme l'envoi d'une ambulance.,L'appelant utilise 'yiwen l'accident' pour signaler l'incident. La gravité est déterminée par le terme 'il est inconscient'. La localisation est précisée par 'athan ttedund ar oued ghir' ('l'qa3a' (le plat/le bas).,400annotations_local.csv
CALL_0208_Appe,Appelle 9.wav,"Allo l'ambulance? Allo? Eh, ak-su l'social Ihaddaden... 3200. Social li 3200? Ah. Dachou yellan? L'bloc 93. L'bloc 93, dachou yellan, l'malade? Blessé? Amotin mlih, ay-zmer ara ad-yeddu. la grepe chghel ithitfen uzrighara Dachou! yellan ? mem  La respiration it-respirerara  mlih daccord asseyed tura sensiwlegh iued ghir aydchey3en lambulance. D'accord, d'accord . Hayya d'accord. Sahhit.",medical_emergency,severe,1.0,no,no,no,no,request_help,high,Béjaïa,Béjaïa,Ihaddaden (3200 logements),"Social li 3200, l'bloc 93","Un homme se trouvant au bloc 93 des 3200 logements à Ihaddaden est dans un état grave et ne peut plus marcher, bien qu'il respire normalement.","L'appelant signale un cas médical urgent : 'amotin mlih' (il n'est pas bien) et 'ay-zmer ara ad-yeddu' (il ne peut pas marcher). Le lieu est clairement identifié par les '3200' (logements sociaux célèbres à Béjaïa) et le quartier 'Ihaddaden'. Utilisation du code-switching typique : 'l'social', 'l'bloc', 'it-respirer' (verbe respirer conjugué au présent kabyle).",400annotations_local.csv
