text,label,label_id
"khouya 3endi mrida ta7etli daret AVC f dar Mais ma ne3refch ga3 kifach, win nrou7ou wala win ndjiw Khassni l’ambulance ! - Win a madame ? Win ta7etkom ? - F Tala Hamza. - Wach men placa f’ Tala Hamza a madame ? - Aït Smaïl ghir chwiya lgoddam qbel ma tewsel la poste, 3end win kayen hadak elli yekhdem les robot ta3 l’électroménager. - 3awdili 3awdili 3awdili wach qoulti 3la lawel ? - Aït Smaïl.- Aït Smaïl Aït Smaïl f’ triq - ghir chwiya lgoddam 9bel ma tel7aq la poste, 3end win kayen wa7ed yekhdem yekhdem les robot électroménager. - Ah rahi f’ triq wala feddar ?",critical,0
"Allo salam a3likoum wa3likoum salam l7imaya lmadania ? an3am ayigma oui ? athan dayi umdakliw idoukh dayi boulimat dachu thiwghen ? welleh ighli ighli s la moto s la moto ? eh idoukh ner ighli ? aweh idoukh ighli kan idoukh igouma adiker anwa wamkan g Boulimat ? .. dayi g boulimat kan atatret ar ljiha ni kan atafet dina Matchi taksarth Premier piste , deuxième piste ? khati khati premier piste kan tkechmet ar zdakhel ah oui iswa chwiya ? nah ? iswa? Chou dwayi achou iswa ? mayeswa l'alcool ner khati Awah awah l'alcool igeswara aya D'accord 3ased l'ambulance ni imala sa7a",high,1
"L'7imaya l'madania Allo, Allo salam ou3alikoum. aah Ma ma3lich ad rou7em thekar thmess dagi g Cevital Anda? Anda Winna l'usine aa? An3am ih lusine cevital oulach les blessé? khati wlach les blessees mais hacha devda ma ma3lich ad 3ajlem chwiya attekhsi inshAllah D'accord.",low,2
"ighli g tonobil dayi deg Oulad Mansour. Marki kan l'numéro kherrata sfahmithen wich9a Marki tchou l'numéro kherrata 034 18 034 18 51 21. ..034 18 021 khati, 51 21 51 21. Merci bien Blamzya.",medium,3
"Salam A3likoum Ma3koum l7imaya lmadaniya an3am? illa yiwen akham dayi iterte9 wa7id ighil ouazoug wa7id les 600 Ayye, an3am. Est ce que lan lles blesses? Wellah ma 3elmer Zrigh kan dayi iterte9 kan lu3aghawend direct d'accord toura dawed l'ambulance a mademe Sa7a.",high,1
"L’7imaya l’madaniya, oui ? Allo l’7imaya lmadaniya wich9a assemd ar Dagi Sidi Aïch ar l’arrêt exacte Dachu illan ? Ah dyiwen yiwen ofourgon dagi ine9lab. Ah d’accord i, akhi wulach les blessés ? Ulach, vu furgu ni kan uthyugh kra il est conscient. Aya très bien, d’accord, tura dchey3egh l’ambulance. Sa7a",medium,3
"Opérateu Allo, himaya aN3am, An3am. Les pompiers Kounwi? Opérateu Na3am? Les pompiers kounwi, ih. ila dayi yewen g Sidi ali Lebher ighli athen ner atchey3em l'ambulance ner kra Opérateu Gani da? Ganda g brid ? Wey? Salam. Salam. tezrit stade ni l'aproximité zeth lycée. Opérateu Ih il3eb lbalon ighli irez g tar Opérateu Yerez g tar ? . Ih . Opérateu L'stade igelan wa7id lycée? Ih, e3tik saha Opérateu OK. D'accord, sa7a, sa7a.",high,1
"anida te7wajem l'ambulance ? Eh, g l'social Iinoir nni les 3200 Social li 3200? eh Dachou yellan? L'bloc 93 L'bloc 93 dachou yellan, malade? Blessé? damotin mlih, ur yezmirara ad yeddu la crepe chghel ithitfen uzrighara Dachou! d'accord meme La respiration it respirerara mlih D'accord daccord asseyed tura sensiwlegh i oued ghir akdchey3en lambulance. aya D'accord.. saha .",high,1
"An3am l7imaya oui , asalam a3likouum , les pompiers ? ih , tech3el thmess da g 3emrounen, aah ? tech3el thmess daha g 3emrounen.. ..Ani llan i3wmrounen ? Aou9as ?..aou9as ? Ih aou9as ih..a oui .. ih awa athan dekhan dame9ran, dekhan ikiskhel3en.. a welah welah tame9rant .. ani , Ani thech3el ? ..apipri 9arnas ait 9echavi tha9echavith , ih , g 3emrounen voila, g 3emrounen, gachu ? Gachu tch3el ? .. ah ..? Gachu tech3el ? ..l Ghaba ? L Ghaba ? .. iih ..kechi tich3len ? Balak atel7e9 dasawen ..te9rev.. llan ikhamen Dina safel ? Ih welah ar lan ikhamen safel , parce que ila ove7ri ila wadho , a d'accord , iih ,sa7it sa7it , filaman",low,2
Allo? Allo oui allo salam 3likum wa3likum salam athan thech3el l3afya ure3limegh amek sgharen iwmekan aa anwa amekan adrar? Anewa amekan Bach anzar d'Adrar wellah ma 3limer nek g Tizi helwan dassawen cheto7 gesou9 letnin a? bouheyan defir cheto7 defir wemdi9 thech3el machi dekra sou9 letnin aa aha nek sou9 letnin Mais nzer l3afya thech3el din ur3limegh ma the9rev negh anda thech3el anda thech3el à peu près côté sou9 letnin awe9as? lcoté nesou9 letnin aya d'accord d'accord d'accord sa7a sa7it,low,2
