text,label,label_id
"Allo secours rahi 3andi - Anda? - a partir l'post, agression, thfehmet? -outhentt? - I9erak iweth yiwen u9chich s la bière u9eruy. - S l'bière u9eruy aah? - Allah yestar, yestar zrit..L'unité Borj Mira, yakhi? - Secours routier Secours routier Borj Mira 15h14 ach7al? - 15h14 15h14. - D'accord.",assault_violence,2
Allo yaaloo an3am ? a3likoum Salam is3afat ah? El 7imaya lmadania an3am aaahh rana ffff aah départ ta3 El yahouni kayna tefla ta7et ahh anida ? ..ah ki tudkhoul dakhla ta3 tinebdar baladiya tinebdar dakhla ta3 tinebdar dacour ista3jilou min fadhlikoum baraka ala aloo,medical_emergency,7
"beghigh akese9ssigh oui Amek ? tella la fuite n el gaz dayi amek ??? la fuite n el gaz , ma yella i kounwi adla3igh negh , anida a seyed ? Adji-Sfa, Beni Djellil. Ah, Beni Djellil. Safi Tazemalt konwi taba3am akhi ? Ah nekni ntabe3 normalement oued Amizour. Amizour ? akdefkegh numéro n amizour eeh kiyid trach numéro ? Marki 034 marki 034 aradji asber kan ayomdakel 034 negh ? Ih. arouh 08 ? 08. 77 ? 77. 14. 14. ardjid , a3rtik sa7a bla meziya , sa7it.",medical_emergency,7
"Allo l'7imaya l'madania ma3akom? oui, mselkher Aselama Ila dayi yiwen umghar chou thyughen? Yiwen umghar ça va pas dayi d9i9a ighlid wa7id l'9ahwa Ighli est-ce que il est conscient? Ighli, ighli il n'est pas conscient ighli, ighli urgent isnufus normal? u3limghara ma isnufus 3limghara zrighth tura kan ighli zdat l'9ahwa l'9ahwa wa7id après l'université Terga D'accord Sa7a.",medical_emergency,7
Oui l'7imaya l'madaniya f el istima3 Al7imaya ma ma3lich adasem ar dayi la plage n Tichy Dachou illan? athan nekesed yiwen wargaz yeghre9 neksithid ih? 7amdulilah athan islek ma ma3lich attawimt athan inter chweya chwiya ih d'accord ih toura adnas ih.,other,8
Salam a3likom. salam Les pompiers ? mon frere a9lar g les 1000 logement nufad dayi yiwen umghar ighli iblesse g fusis? anwa mkan g les 1000 logements ? a g les batiments les b? anda lan les B ? ahnan imsawen wa7id l'primar nasr tesnet primar ni a9dim dina ? Wa7id l'commissariat ? khati commecaria zdawas tina wekser machi imsawen Sedaw l'commissariat ? Sedaw l'commissariat athen dina l'primaire eh ma yella attasem atawimth athen dayi i9im g l'bâtimath ayi D'accord eh ih mayella attasemd athen dina wa7id gedged quartier ni primaire ni wuksar athen dina g quartier ni igi9im .. eh d'accord ma yella iru7 ner 3awdareghd a seyed aweh idirou7ara athen dayi it3assa ouzmirara adirou7 .. se9saghkid mayela irou7 se9saghkid mayela irou7 3awdaghed d'accord agma .. sa7a ..sa7a .,medical_emergency,7
"Allo ? Eh, zeth djame3 tZalith aa abrid ni n tazeboucht wanisa Boukhiama aa ? Khati, djame3 n Tzeboucht djame3 n Tazeboucht, ismis i l djame3 nni, ismis ? Bnou Raba7 aaa An3am ? Omar Bnou Khattab aa ? Eh, voila ya3tik esa7a ih tri9 imsawen Dina aaa ? ..Eh g khamis itech3el ner g berra ?.. Eh, tech3el normalement g contour ni n berra Contour nni g berra igela ? Eh D'accord. C'est Urgent ayigma attach3al toura iydlou3an ih D'accord agma D'accord ih Barakallahufik agma sa7ite sa7a",fire_building,3
"yidwen l7imaya lmadaneya an3am? S'il vous plaît ila dayi l'fuite de gaz dayi wahid akham negh, g l'ecole modi g yiwen n wekham u3limghara ch7al l les victimes illan izemer l7al dukhen sezdakhel na3limara d'accord a madame aka chwiya dawden les pompiers d'accord sa7a..",hazmat,6
"Allo Salam a3likoum. Oui 3likoum salam, l'7imaya l'madaniya. wich9a dasem aa dassem ar le9ser, Berchiche 1. Dachu illan? d Yiwen n wergaz iweth thamtuthis, yiweth tametuthis ? iwethit une3lim ma yenghatt nagh ma wech9a d3ajlem chwiya berchich 1 aken9avlegh neki thlo3atasen i la police ah? senlu3aghara fkiyid numéro nsen amadam? 17. 17? Sa7it. Sa7a.",assault_violence,2
"En face GBCO En face tame9rant ni sur la droite en face GBCO ? D'accord La promotion Citadâ, la promotion Citadâ D'accord madame d'accord Atan mazal teche3el aah D'accord madame nsekhsi L'gaz d'ville nsekhsi koulchi. Ok très bien Sa7it.",fire_building,3
