Chemin,Transcription
A000_B01_1.wav,B
A000_B01_2.wav,Beyyen
A000_B01_3.wav,Begh
A000_B01_4.wav,Thban-dh thidheth gher thagara
A000_B01_5.wav,Thebegh lkhebz dheg zith
A001_D01_1.wav,dh
A001_D01_2.wav,Dou
A001_D01_3.wav,Dem
A001_D01_4.wav,Andha irou7 baba-s adh yedou
A001_D01_5.wav,Thedem ayen thou7wadj kan
A002_D02_1.wav,dh
A002_D02_2.wav,Del
A002_D02_3.wav,Dhhen
A002_D02_4.wav,Yedel snath n th7ouyak
A002_D02_5.wav,Thedhhen seksou s dhhan
A003_D03_1.wav,dh
A003_D03_2.wav,Dez
A003_D03_3.wav,Dh3en
A003_D03_4.wav,Thedez kra n theskerth
A003_D03_5.wav,Thedh3en thettes l9ahwa thaberkanth
A004_D04_1.wav,dh
A004_D04_2.wav,Der
A004_D04_3.wav,Derghel
A004_D04_4.wav,Yeder sin wousan kan imouth
A004_D04_5.wav,Yeweth-ith gher thit yesdherghel-ith
A005_D05_1.wav,dh
A005_D05_2.wav,Bedel
A005_D05_3.wav,Wedef
A005_D05_4.wav,Yal thaswi7th nettath dh abedel
A005_D05_5.wav,Iwedef-as abidhoun adh th-idh yetchar
A006_č01_1.wav,tch
A006_č01_2.wav,Tche7
A006_č01_3.wav,Tchar
A006_č01_4.wav,Thetcha7 thmetout throu7 akham n baba-s
A006_č01_5.wav,Yetchour abou9al n waman
A008_D06_1.wav,dh
A008_D06_2.wav,Ndhef
A008_D06_3.wav,Fedekh
A008_D05_5.wav,Iwedef-as abidhoun adh th-idh yetchar
A008_D06_4.wav,Yesendhef-as ldjer7-is
A009_D07_1.wav,dh
A009_D07_2.wav,Izdhig
A009_D07_3.wav,Ldhi
A009_D07_4.wav,Sizdheg thawouourth-ik
A009_D07_5.wav,Yeldhi ak thiwoura n thekhamin
A010_D08_1.wav,dh
A010_D08_2.wav,Bed
A010_D08_3.wav,Dehn
A010_D08_4.wav,Ibed ghef oumnar n thewourth
A010_D08_5.wav,Thettara dehn i wayen yelan
A011_D09_1.wav,dh
A011_D09_2.wav,Derya
A011_D09_3.wav,Daw
A011_D09_4.wav,As-dh-yerza9 rebi derya isel7en
A011_D09_5.wav,A9lagh ak daw le3naya rebi
A012_D10_1.wav,dh
A012_D10_2.wav,Di9
A012_D10_3.wav,Dhnoub
A012_D10_4.wav,"Akham-nsen mezi, zedhghen dheg di9"
A012_D10_5.wav,Adh as-yeghfer rebi dhnoub-is
A013_D11_1.wav,dh
A013_D11_2.wav,Dhwam
A013_D11_3.wav,Dhre3
A013_D11_4.wav,L9ech n bera thera-then i dhwam
A013_D11_5.wav,Yesekhdham dhra3 ghef imezyanen
A014_Č03_1.wav,tch
A014_Č03_2.wav,Tchernen
A014_Č03_3.wav,Tche3tche3
A014_Č03_4.wav,Tchernen-dh kra yidhrimen gher l9a3a
A014_Č03_5.wav,Thetcha3tchi3 fel-as 9rib thetcha-tt
A015_Č06_1.wav,tch
A015_Č06_2.wav,Sentchew
A015_Č06_3.wav,Betchetch
A015_Č06_4.wav,Sentchawegh iyouzadh le9bayel
A015_Č06_5.wav,Ibetchetch ak lkhebz-ni dh imersoulen
A016_Č09_1.wav,tch
A016_Č09_2.wav,Atchanyar
A016_Č09_3.wav,Tcha9lala
A016_Č09_4.wav,Ikhdhem atchanyar gar ikhedamen-is
A016_Č09_5.wav,Ikhdhem tcha9lala ghef woulach
A017_Č12_1.wav,tch
A017_Č12_2.wav,Astchewtchew
A017_Č12_3.wav,Atchouran
A017_Č12_4.wav,Barka-k astchewtchew ab7al dh afroukh
A017_Č12_5.wav,Dh atchouran mi-s amou9ran
A018_Č11_1.wav,tch
A018_Č11_2.wav,Afatchaw
A018_Č11_3.wav,Asentchew
A018_Č11_4.wav,"A9chich-a dh afatchaw, yett7iwil lehdhour"
A018_Č11_5.wav,Thfouk asentchew iyouzat
A021_D03_1.wav,dh
A021_D03_2.wav,Dez
A021_D03_3.wav,Dh3en
A021_D03_4.wav,Thedez kra n theskerth
A021_D03_5.wav,Thedh3en thettes l9ahwa thaberkanth
A022_D04_1.wav,dh
A022_D04_2.wav,Der
A022_D04_3.wav,Derghel
A022_D04_4.wav,Yeder sin wousan kan imouth
A022_D04_5.wav,Yeweth-ith gher thit yesdherghel-ith
A026_Č14_1.wav,tch
A026_Č14_2.wav,Thatcharth
A026_Č14_3.wav,Thoutch7a
A026_Č14_4.wav,Yekfa thatcharth waman
A026_Č14_5.wav,Dh thoutch7a i thetcha7 gher oukham n baba-s
A027_Č01_1.wav,tch
A027_Č01_2.wav,Tche7
A027_Č01_3.wav,Tchar
A027_Č01_4.wav,Thetcha7 thmetout throu7 akham n baba-s
A027_Č01_5.wav,Yetchour abou9al n waman
A028_Č04_1.wav,tch
A028_Č04_2.wav,Tchelbet
A028_Č04_3.wav,Tchilbeb
A028_Č04_4.wav,Tchelbiten warach dheg waman
A028_Č04_5.wav,Yetchilbib yibki seg thejra gher thayedh
A030_M01_1.wav,m
A030_M01_2.wav,Mager
A030_M01_3.wav,Mchet
A030_M01_4.wav,Imouger-dh le7bab-is dheg oubridh
A030_M01_5.wav,Themchet achekou7-is s thselakth
A031_M02_1.wav,m
A031_M02_2.wav,Meni
A031_M02_3.wav,Mekthi
A031_M02_4.wav,Yettmeni adh thekfou cheda fel-as
A031_M02_5.wav,Yemektha-dh lehdhour yema-s
A032_M03_1.wav,m
A032_M03_2.wav,Msel
A032_M03_3.wav,Amen
A032_M03_4.wav,Themsel-s aghroum a9ouran
A032_M03_5.wav,"Dh niya, Thettamen win yelan"
A033_M04_1.wav,m
A033_M04_2.wav,3emer
A033_M04_3.wav,3emedh
A033_M04_4.wav,Th3emer ledjwaz gher tharbouyth
A033_M04_5.wav,Our as-th3emedh ara imi theweth-ith
A034_M05_1.wav,m
A034_M05_2.wav,khemer
A034_M05_3.wav,soumeth
A034_M05_4.wav,thkhemer l9ech n wayethma-s
A034_M05_5.wav,thsoumeth thasoumtha n rich
A035_M06_1 .wav,m
A035_M06_2 .wav,Rdhem
A035_M06_3 .wav,9wem
A035_M06_4 .wav,therdhem seksou n na3ma
A035_M06_5 .wav,ye9wem wayen thekhdhem
A037_M08_1.wav,m
