file_name,audio_path,transcription,role,scenario_id,turn_idx,incident_type,location,speaker
ANIS_28921301\lost_person_s001\ANIS_28921301_lost_person_s001_t01_caller.webm,audios\ANIS_28921301\lost_person_s001\ANIS_28921301_lost_person_s001_t01_caller.webm,"salam alaykoum, les pompiers?",caller,SYN_lost_person_001__00011,01,lost_person,Amizour,ANIS_28921301_
ANIS_28921301\lost_person_s001\ANIS_28921301_lost_person_s001_t02_operator.webm,audios\ANIS_28921301\lost_person_s001\ANIS_28921301_lost_person_s001_t02_operator.webm,"an3am, l'7imaya l'madaniya f l'istima3.",operator,SYN_lost_person_001__00011,02,lost_person,Amizour,ANIS_28921301_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t01_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t01_operator.webm,l'7imaya l'madaniya f l'istima3.,operator,SYN_accident_pedestrian_002__00011,01,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t02_caller.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t02_caller.webm,"salam khouya, rani f akbou, kayen un accident. tomobil darbet un piéton.",caller,SYN_accident_pedestrian_002__00011,02,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t03_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t03_operator.webm,anda exact? wach la commune?,operator,SYN_accident_pedestrian_002__00011,03,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t04_caller.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t04_caller.webm,"commune d'akbou, zdat la poste, en face l'école.",caller,SYN_accident_pedestrian_002__00011,04,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t05_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t05_operator.webm,dachu yellan? est-ce qu'il est conscient?,operator,SYN_accident_pedestrian_002__00011,05,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t06_caller.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t06_caller.webm,"rah taya7 f l'erd, rah conscient chwiya, fih idamen.",caller,SYN_accident_pedestrian_002__00011,06,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t07_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s001\Aissa_a8de26ae_accident_pedestrian_s001_t07_operator.webm,"d'accord, at-tacha l'ambulance.",operator,SYN_accident_pedestrian_002__00011,07,accident_pedestrian,"Akbou, zdat la poste, en face l'école",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t01_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t01_operator.webm,m3akoum l'7imaya l'madaniya.,operator,SYN_accident_pedestrian_002__00012,01,accident_pedestrian,"Adekar, centre ville, wa7id l'jame3",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t02_caller.webm,audios\Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t02_caller.webm,"allo khouya, kayen wa7ed l'enfant darbouh b tomobil hna f adekar.",caller,SYN_accident_pedestrian_002__00012,02,accident_pedestrian,"Adekar, centre ville, wa7id l'jame3",Aissa_a8de26ae_
Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t03_operator.webm,audios\Aissa_a8de26ae\accident_pedestrian_s002\Aissa_a8de26ae_accident_pedestrian_s002_t03_operator.webm,anda exact? wach la commune?,operator,SYN_accident_pedestrian_002__00012,03,accident_pedestrian,"Adekar, centre ville, wa7id l'jame3",Aissa_a8de26ae_
