Chemin,Transcription
A000_B01_1.wav,B
A000_B01_2.wav,Beyyen
A000_B01_3.wav,Bbeɣ
A000_B01_4.wav,Tban-d tidet ɣer taggara
A000_B01_5.wav,Tebbeɣ lxebz deg zzit
A001_D01_1.wav,d
A001_D01_2.wav,Ddu
A001_D01_3.wav,Ddem
A001_D01_4.wav,Anda iruḥ baba-s ad yeddu
A001_D01_5.wav,Teddem ayen tuḥwağ kan
A002_D02_1.wav,d
A002_D02_2.wav,Ddel
A002_D02_3.wav,Dhen
A002_D02_4.wav,Yeddel snat n tḥuyak
A002_D02_5.wav,Tedhen seksu s dhan
A003_D03_1.wav,d
A003_D03_2.wav,Ddez
A003_D03_3.wav,Dԑen
A003_D03_4.wav,Teddez kra n teskert
A003_D03_5.wav,Tedԑen tettes lqahwa taberkant
A004_D04_1.wav,d
A004_D04_2.wav,Dder
A004_D04_3.wav,Dderɣel
A004_D04_4.wav,Yedder ssin wussan kan immut
A004_D04_5.wav,Yewwet-it ɣer tiṭ yesderɣel-it
A005_D05_1.wav,d
A005_D05_2.wav,Beddel
A005_D05_3.wav,Weddef
A005_D05_4.wav,Yal taswiḥt nettat d abeddel
A005_D05_5.wav,Iweddef-as abidun ad t-id yeččar
A006_č01_1.wav,č
A006_č01_2.wav,Ččeḥ
A006_č01_3.wav,Ččar
A006_č01_4.wav,Teččaḥ tmeṭṭuṭ truḥ axxam n baba-s
A006_č01_5.wav,Yeččur abuqal n waman
A008_D06_1.wav,d
A008_D06_2.wav,Ndef
A008_D06_3.wav,Feddex
A008_D05_5.wav,Iweddef-as abidun ad t-id yeččar
A008_D06_4.wav,Yessendef-as lğerḥ-is
A009_D07_1.wav,d
A009_D07_2.wav,Izdig
A009_D07_3.wav,Ldi
A009_D07_4.wav,Ssizdeg tawuurt-ik
A009_D07_5.wav,Yeldi akk tiwwura n texxamin
A010_D08_1.wav,d
A010_D08_2.wav,Bedd
A010_D08_3.wav,Ddehn
A010_D08_4.wav,Ibedd ɣef umnar n tewwurt
A010_D08_5.wav,Tettara ddehn i wayen yellan
A011_D09_1.wav,d
A011_D09_2.wav,Dderya
A011_D09_3.wav,Ddaw
A011_D09_4.wav,As-d-yerzaq rebbi dderya iṣelḥen
A011_D09_5.wav,Aqlaɣ akk ddaw leԑnaya rebbi
A012_D10_1.wav,d
A012_D10_2.wav,Ddiq
A012_D10_3.wav,Dnub
A012_D10_4.wav,"Axxam-nsen mezzi, zedɣen deg ddiq"
A012_D10_5.wav,Ad as-yeɣfer rebbi dnub-is
A013_D11_1.wav,d
A013_D11_2.wav,Dwam
A013_D11_3.wav,Dreԑ
A013_D11_4.wav,Lqec n berra terra-ten i dwam
A013_D11_5.wav,Yessexdam draԑ ɣef imezyanen
A014_Č03_1.wav,č
A014_Č03_2.wav,Černen
A014_Č03_3.wav,Čeԑčeԑ
A014_Č03_4.wav,Černen-d kra yidrimen ɣer lqaԑa
A014_Č03_5.wav,Tečaԑčiԑ fell-as qrib tečča-tt
A015_Č06_1.wav,č
A015_Č06_2.wav,Senčew
A015_Č06_3.wav,Beččeč
A015_Č06_4.wav,Senčaweɣ iyuzaḍ leqbayel
A015_Č06_5.wav,Ibeččeč akk lxebz-nni d imeṛṣulen
A016_Č09_1.wav,č
A016_Č09_2.wav,Ačanyar
A016_Č09_3.wav,Čaqlala
A016_Č09_4.wav,Ixdem ačanyar gar ixeddamen-is
A016_Č09_5.wav,Ixdem čaqlala ɣef wulac
A017_Č12_1.wav,č
A017_Č12_2.wav,Asčewčew
A017_Č12_3.wav,Ačuran
A017_Č12_4.wav,Barka-k asčewčew abḥal d afrux
A017_Č12_5.wav,D ačuran mmi-s amuqqran
A018_Č11_1.wav,č
A018_Č11_2.wav,Afačaw
A018_Č11_3.wav,Asenčew
A018_Č11_4.wav,"Aqcic-a d afačaw, yettḥiwil lehdur"
A018_Č11_5.wav,Tfuk asenčew iyuzaṭ
A021_D03_1.wav,d
A021_D03_2.wav,Ddez
A021_D03_3.wav,Dԑen
A021_D03_4.wav,Teddez kra n teskert
A021_D03_5.wav,Tedԑen tettes lqahwa taberkant
A022_D04_1.wav,d
A022_D04_2.wav,Dder
A022_D04_3.wav,Dderɣel
A022_D04_4.wav,Yedder ssin wussan kan immut
A022_D04_5.wav,Yewwet-it ɣer tiṭ yesderɣel-it
A026_Č14_1.wav,č
A026_Č14_2.wav,Taččart
A026_Č14_3.wav,Tuččḥa
A026_Č14_4.wav,Yekfa taččart waman
A026_Č14_5.wav,D tučḥa i teččaḥ ɣer uxxam n baba-s
A027_Č01_1.wav,č
A027_Č01_2.wav,Ččeḥ
A027_Č01_3.wav,Ččar
A027_Č01_4.wav,Teččaḥ tmeṭṭuṭ truḥ axxam n baba-s
A027_Č01_5.wav,Yeččur abuqal n waman
A028_Č04_1.wav,č
A028_Č04_2.wav,Čelbeṭ
A028_Č04_3.wav,Čilbeb
A028_Č04_4.wav,Čelbiṭen warrac deg waman
A028_Č04_5.wav,Yečilbib yibki seg tejra ɣer tayeḍ
A030_M01_1.wav,m
A030_M01_2.wav,Mager
A030_M01_3.wav,Mceṭ
A030_M01_4.wav,Imuger-d leḥbab-is deg ubrid
A030_M01_5.wav,Temceṭ acekkuḥ-is s tsellakt
A031_M02_1.wav,m
A031_M02_2.wav,Menni
A031_M02_3.wav,Mmekti
A031_M02_4.wav,Yettmenni ad tekfu cedda fell-as
A031_M02_5.wav,Yemmekta-d lehdur yemma-s
A032_M03_1.wav,m
A032_M03_2.wav,Msel
A032_M03_3.wav,Amen
A032_M03_4.wav,Temsel-s aɣrum aquran
A032_M03_5.wav,"D niya, Tettamen win yellan"
A033_M04_1.wav,m
A033_M04_2.wav,ԑemmer
A033_M04_3.wav,ԑemmed
A033_M04_4.wav,Tεemmeṛ leğwaz ɣer taṛbuyt
A033_M04_5.wav,Ur as-tεemmed ara imi tewwet-it
A034_M05_1.wav,m
A034_M05_2.wav,xemmer
A034_M05_3.wav,summet
A034_M05_4.wav,txemmeṛ lqec n wayetma-s
A034_M05_5.wav,tsummet tasumta n rric
A035_M06_1 .wav,m
A035_M06_2 .wav,Rḍem
A035_M06_3 .wav,Qwem
A035_M06_4 .wav,terḍem sseksu n nnaεma
