Call ID,Status,Corrected Transcription,Timestamp,Incident Type
CALL_0208_Appe,skipped,,2026-03-03T23:17:46.360372,medical_emergency
Appelle 1.wav,corrected,"Caller: ma3lishe, wichqa ma tzemmem ad t-deplacim? Operator: Anda a Madame? Caller: g 2550 logements, le bloc 20.Operator: Dayi g Bgayet a . Caller : appartement 4. Operator: dayi g bgayeth a? Caller: An3am, deg Ighzer Ouzarif. Operator: Eh, Ighzer Ouzarif... Cité AADL? Caller: Khati, inayid g deg  social uksar. Operator: iweksar? Caller: An3am. Operator: Wacho lbloc? Caller: Le bloc 20. Operator: Le bloc 20. Operator: Dachu la famille? Caller: Benoudiba. Operator: Benoudiba. Caller :An3am ih. Operator :Dachu ithiwghen? Caller: Khati, tamghart, Madame-is. C'est une cancéreuse, cancéreuse athen giteli outherkara  one3limara achou asen3el.. Operator: Eh, mais t-nuffes? Machi? Caller: An3am. Operator: il est en vie? Mazalit del 7ey? Caller: khati  d l7eya itella . Operator: D'accord a Madame, Caller :  l'cancer-nni ad t-soulagin chwiya, puisque tes3a les douleurs-nni t3elmet amek.Operator: Ma3lich a Madame. tura adla3ir i oued ghir . Essaye chey3ed 7ed aghdi3as g berra ner  . Caller: Khalas, d'accord agma.Operator: eh  Tout de suite. Puisque da d l'pompiers n Bgayet. Caller: An3am? Operator: niram dayi d Bgayet.Caller : ah D'accord agma,ilaq anes3ou numero n daglansen yakhi?  Operator: Eh wabrid iten marki numero nssen direct 030 Caller : esber aki3yech rebi adeldir portable  ldid portable Operator: 030 16 Caller : 030 16 , Operator : 2 fois  92 ,Caller : chhel ? Operator: sin iberdan 92 Caller: 2 fois 92 Operator :  asentla3it ner asenla3ir a madame  , Caller : sahit agma akister rebi .",2026-03-05T18:07:14.490702,medical_emergency
Appelle 2.wav,corrected,"Salam warahmatou lah- les pompiers n seddouq ? -vgayeth - nes3a un malade dayi ighli gel qahwa n Hidra. - L qahwa n Hidra ? - Eh. - Bon,dachu dachu thiwghen ? - Eh, je pense la tension  i  ssighlin - Ah oui... anda thela l qahwa n Hidraayi ? - a Seddouq, Seddouq. - Aniwa amkan ? g Seddouk ville ? - Seddouk ville, centre-ville , l cafétéria Hidra. - Ok, d'accord. - Saha. - Saha.",2026-03-05T18:14:21.087779,medical_emergency
Appelle 3.wav,corrected," L'7imaya oui?- Allo! - allo L'Himaya oui, oui? - Salam Alaikoum l'himaya dayi gher feu rouge  gher la DGS, gher l festival ni... - Eh? - L festival ni, bon ya une femme dagi enceinte de 3 mois, tes3a un malaise. - oui  wahi la DGS? - Dakhel, s dakhel ni, aqlagh dina s dakhel un malaise d'une femme enceinte de 3 mois, d'accord? - D'accord, sa7a, aqlagh nettraju .",2026-03-11T16:16:57.532703,medical_emergency
Appelle 4.wav,corrected,"Allo...Himaya oui?... Salam 3likoum... Salam. ..A 7bbib, nes3a l'urgence da g Helil...Helil? ...Ih, att3edit chwiya i la salle des fêtes anda lgeznuzay wina les citernes lgalvanisés....Ah seyed, ak dekegh numéro n oued ghir akhir... Arouh... Marki 030..esber aa 030  ... 16 2 fois 92. 2 fois chhal? ...92, sin iberdan 92... Daya? ...C'est bon... Saha... Saha.",2026-03-11T16:17:03.548574,unknown
Appelle 5.wav,corrected,"Allo? ...Allo oui  an3am... Salam alaykoum....Salam l'pompiers nvgayeth? oui.... Euh, ness3a dayi g  Beni Maouche thametoth theghlid g thzemourth umb3ad qarnak l'ambulance wlachitt oulach ....  Euh...An3am ? ... nirakd  nchey3awend l'ambulance.. Beni Maouche?... g Beni Maouche itchey3em ?.. Beni Maouche khati  Seddouq  nchey3awen Seddouq d'accord ..seddouq?? ...Seddouq.....  D'accord, d'accord saha .",2026-03-05T18:35:48.180959,medical_emergency
Appelle 6.wav,corrected,"Allo l'7imaya oui salam - L'pompiers Souq n Letnin? - Khati n  vgayeth. - n vgayeth? Ah nes3a yiwth g Souq n Letnin, athan g lqa3a? - Ak defker numero  n Souq n Letnin akhir.... Rouh marki: 034 09 36 13 .13 à la fin. - D'accord, saha.",2026-03-11T16:17:22.190989,unknown
Appelle 7.wav,corrected,"Himaya oui ..., allo salam 3likoum. - Salam. - S3ir dayi g  la cité Djama tche3l thmessth g khyout n tricité, l'extérieur. - Cité Djama ? - .. à l'extérieur eh ... - D'accord - au 3ème cartier- D'accord saha. - Sa7a.",2026-03-05T21:03:09.189062,other
Appelle 8.wav,corrected,"S-salam 3likoum.... himaya oui?. ...la protection civil thella une accident, yiwen thewthith tomobil athan dayi gel qa3a.... Athan ttedund Athan ttedund i oued ghir? .....Eh, Athan ttedund g oued ghir il est inconscientt... Athan ttedund  tura tle7qed l'ambulance. Aya d'accord....sa7a merci.",2026-03-11T16:17:43.269255,accident_vehicular
Appelle 9.wav,corrected,"anida tehwajem l'ambulance ? ... Eh, g l'social Iinoir nni les 3200..... Social li 3200?... eh... Dachou yellan? .....L'bloc 93.... L'bloc 93 dachou yellan, malade? Blessé? ....damotin mlih, ur yezmirara ad yeddu la crepe chghel ithitfen uzrighara Dachou! ... d'accord ... meme  La respiration it respirerara  mlih .... D'accord daccord asseyed tura sensiwlegh i oued ghir akdchey3en lambulance. ...aya D'accord.. saha .",2026-03-05T21:12:51.982859,medical_emergency
Appelle 10.wav,corrected,"Allo?... Oui l'pompiers.... Salam aleykoum....salam warahmatou lah... anita l'7imaya l'madaniya? ....Les pompiers n Bgayet a Madame, les 4 chemins.... vgayet, aqlin dayi g El Kseur... ich3eliyide ukuntur triciti athan yergha ukith.....Aniwa mkan g El Kseur a Madame?... Aqlagh wa7id Berqouqi.... A Madame, ma3lich amdefkegh numéro El Kseur sawtasen  asentssfahmet anda amkan exact, ma3lich? ....awithid.. 034...034.. 82 ...83 ..35 65....82 35 65. C'est bon a Madame?... Sa7it...Sa7it a madame.",2026-03-05T21:32:37.875653,other
Appelle 11.wav,corrected,"3awdiyid kan ....nirakd dérapage D'un véhicule léger. ...Eh, anida?.... Route nationale 12....anwa amkan? ...La gendarmerie El Kseur.. wahid la gendarmerie El Kseur... Eh, zath la brigade la gendarmerie.... Derapage véhicule cheye3tas l'ambulance kan nagh?  L'ambulance ... D'accord saha .",2026-03-05T21:36:46.253147,accident_vehicular
Appelle 12.wav,corrected,"Allo?... Allo?.... himaya an3am....Salam 3likoum....salam... Chuf m3ak, la3nayak nighawend f yiwen ihlek g ledimco... Eh, athan l'ambulance tqeliven fellas oulach? ...aqlin dina, dekhla n sadda anda  tqeliven nuhni ...  Nki win idula3an inad ad ad3edim wahi souq lfelah, adkechman vers souq.... khati ljiha n JRCA.... Safi anda thela la poste... anda thela la poste exact... eh... Ah d'accord, ok. Ambulance attan ljiha ni imsawen... Ahwa.... d'accord ok d'accord....Sa7a.",2026-03-05T21:43:41.749706,medical_emergency
Appelle 13.wav,corrected,"Salam 3likoum ..salam warhmat lah... azul cava C'est docteur Hakimi. 3eddigh tura s cité Monja, zrigh un patient, un patient il est dans un état grave chwiya .. ehi ... cest un vieux, il désature, i7waj l'oxygène, la respiration il respire difficilement. Il est inconscient. Tura zrigh les parents ines parce que lu3and tura, apres la3ighed nekki.  ag d s3eddigh les parents ines It7waj un transport vers l'hôpital en urgence....i kechi achu itkhedmed  D tabib ? ...nek 3edaghd sina lu3aniyid  naniyid ma zemred attezred la situation...privé... Roher zrigh, roher zrighth ouffir  l'état ines, l'état ines dégradé... Ah d'accord... athaya l'parent ines agds3edir ...ok ... Allo ?... An3am azul fellak. Azul. ....oui ..l'arée ni Terminus Monja, deffir l'bâtiment nni kan akayi  ay dafedd dinna. ...A g terminus Monja ? ...Terminus  thela  l'park nni dina tella yeweth  l'bâtiment  dinna. ...Terminus Monja.... El mouhim, tura chu l'bâtiment   ner el mouhim attan tjr g terminus.... Terminus Eih....C'est quelle nom ? Afia. .. Afia, eih... bon, numéro machi daglak?.. khati, matchi d wayi ..fkiyid numero .... marki numéro ... Eih chhel ? ....05 58 ... iheh..06 ....aywah ...15 39....Ok d'accord, akidnaf dina g terminus.... Aydafem  dina...D'accord saha .. saha .",2026-03-05T21:59:29.838625,medical_emergency
Appelle 14.wav,corrected,"Allo. - An3am ih  llah ghir nes3a un malade ighliyagh dayi g thhanut gelqouds - gelqouds lou3and  nighas wlh ma nes3a  les ambulance actuellement atan occupé. - Ya ilou3ayakd  d wayetnin, illa yiwen i3ayed 115 daghen ulach. - 034 1115 15. - 034 1115 15? - Ih, 3awed la3id i  numéro-ayi daghen. - D'accord, sahit.",2026-03-05T22:05:45.108505,medical_emergency
Appelle 15.wav,corrected,"Himaya An3em allo ... allo 3andna 3andna wasmou wa7ed crise cardiaque walla l'mir postal ta3 Souq n Tnine....Souq n Tnine? ne3tilek numéro ta3 Souq n Tnine rak m3a Bjaya, marki 3andek. ...Eh d'accord. 034... 034... 09... 09... 36.... 13. Saha, saha.",2026-03-05T22:10:07.892095,medical_emergency
Appelle 16.wav,corrected,"Allo? ...Allo oui salam 3likum... Les pompiers Souq El Tenine?  ...n bgayeth an3am,....3nayak ma zemred sentla3id les pompiers Souq El Tenine ghornagh un cas  l'urgence zath la poste n Souq El Tenine..... D'accord, tura senla3igh. Sa7a.... D'accord, sa7a.",2026-03-05T22:13:29.633034,medical_emergency
Appelle 17.wav,corrected,"Allo? ...Allo ouii ... Salam 3likoum les pompiers?..... Les pompiers, oui... Bon, athan thella dayi l'accident g cherchour...Cherchour?.. eh d yeweth idéraper ... Amek?... nighak d yiweth tomobile idérapin oumba3d thess3a yiweth teqchichth cava pas dina thdukh...  un blessé kan?... aa thdukh  wahi ljame3 ni illan g cherchour gedged.... Sber adnass g Tichy ar  Bgayet, ner Bgayet ar Tichy... Khati g Bgayet ar Tichy.... D'accord, d'accord, saha, saha...Saha.",2026-03-05T22:31:33.948475,accident_vehicular
Appelle 18.wav,corrected,"— Sbakhir fellawen. — Sbahelkhir. — La protection civile n Aqbou? — Khati, n Bgayet, an3am agma. — Justement, ma tzemrem atcheg3em l'ambulance dagi geqbou— Anwa amkan? — Atha f ljame3 ni nuqvu, nes3a yiweth teqchicht dagi ighezat wuqjun. — Anwa amkan? Lwa7i  ljame3 ni n la ville imssawen aa? — wina imssawen, asouad wakane. — Aya très bien, d'accord, sa7a.",2026-03-05T22:47:25.339532,medical_emergency
Appelle 19.wav,corrected,"Allo. - salam 3likoum. - Wa3likoumsalam. -ljariw  -okdssalghara- nes3a dayi yiwen ljar dayi idemander protection civil? -iwach lkhir achu yuhwaj?-is3a yiwen handicapé is3a une crise cardiaque - Anida? - g ighzer ozarif, Près de l'APC. - Ma3lich, Ighzer ozarif agdefkegh numero oued ghir dayi d bgayeth  marki ar  ghourek. - Ah. - 030  - 030-16-16-92 92 ..  92 92.  - D'accord saha . - Sahit.",2026-03-05T22:52:58.381536,medical_emergency
